,Name,Class,Subtype,D170,d30Si,d51V,e53Cr,e54Cr,D170_2se,d30Si_2se,d51V_2se,e53Cr_2se,e54Cr_2se
109,EET87770,Carbonaceous Chondrites,CR2 ...,-1.220,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
110,EET87860,Carbonaceous Chondrites,CK5 ...,-4.140,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
111,EET90004,Carbonaceous Chondrites,CK5 ...,-4.200,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
112,EET92002,Carbonaceous Chondrites,CK5 ...,NaN,NaN,NaN,0.02,0.33,NaN,NaN,NaN,0.05,0.12
113,EET92002.15,Carbonaceous Chondrites,CK4 ...,NaN,NaN,-1.80,NaN,NaN,NaN,NaN,0.2,NaN,NaN
114,ES-9104,Earth,Basalt Trachyandesite ...,NaN,-0.250,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
115,Eagle,Enstatite Chondrites,EL6 ...,NaN,-0.610,NaN,NaN,NaN,NaN,0.12,NaN,NaN,NaN
116,Efremovka,Carbonaceous Chondrites,CV3 ...,-5.080,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
117,ElDjouf001,Carbonaceous Chondrites,CR2 ...,-1.470,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
118,Elenovka,Ordinary Chondrites,L5 ...,1.065,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
119,Ensisheim,Ordinary Chondrites,LL6 ...,1.4,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
120,Ergheo,Ordinary Chondrites,L5 ...,0.98,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
121,ErtaAletholeite,Earth,None,NaN,NaN,NaN,-0.020,-0.020,NaN,NaN,NaN,0.06,0.08
122,Essebi,Carbonaceous Chondrites,C2-un ...,-1.040,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
123,Estherville,Vesta,Mesosiderite ...,NaN,NaN,NaN,0.09,-0.700,NaN,NaN,NaN,0.06,0.13
124,Farmington,Ordinary Chondrites,L5 ...,1.13,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
125,Felix,Carbonaceous Chondrites,CO3 ...,-4.590,NaN,NaN,0.07,0.63,0.07,NaN,NaN,0.06,0.09
126,ForestCity,Ordinary Chondrites,H5 ...,0.75,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
127,ForestVale,Ordinary Chondrites,H4 ...,0.635,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
128,GM92-234,Earth,Peridotite ...,NaN,-0.330,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN
129,GR97-38,Earth,Peridotite ...,NaN,-0.270,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
130,GR97-52,Earth,Peridotite ...,NaN,-0.310,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN
131,GRA06100,Carbonaceous Chondrites,CR ...,NaN,NaN,NaN,0.25,1.32,NaN,NaN,NaN,0.05,0.11
132,GRO95517,Enstatite Chondrites,EH3 ...,NaN,-0.770,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN
133,GRO95552,Ordinary Chondrites,LL4 ...,NaN,NaN,NaN,0.19,-0.330,NaN,NaN,NaN,0.04,0.1
134,GRO95566,Carbonaceous Chondrites,C2-un ...,-3.970,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
135,GRO95577,Carbonaceous Chondrites,CR1 ...,-0.450,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
136,Governador,Mars,Nakhlite_cpxnite ...,0.321,-0.510,NaN,NaN,NaN,0.02,0.07,NaN,NaN,NaN
137,Grosnaja,Carbonaceous Chondrites,CV3 ...,-3.130,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
138,Guarena,Ordinary Chondrites,H6 ...,0.76,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
139,Guidder,Ordinary Chondrites,LL5 ...,1.19,NaN,NaN,0.21,NaN,0.07,NaN,NaN,0.06,NaN
140,Gujba,Carbonaceous Chondrites,CBa3 ...,NaN,NaN,NaN,-0.030,1.07,NaN,NaN,NaN,0.13,0.27
141,HH043,Carbonaceous Chondrites,CO3 ...,-4.110,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
142,HH073,Carbonaceous Chondrites,C4-un ...,-3.760,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
143,HH237,Carbonaceous Chondrites,CB ...,-2.170,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
144,Hainholz,Vesta,Mesosiderite ...,NaN,NaN,NaN,0.11,-0.700,NaN,NaN,NaN,0.06,0.13
145,Harnler,Ordinary Chondrites,LL4 ...,1.36,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
146,Holbrook,Ordinary Chondrites,L6 ...,NaN,NaN,NaN,0.23,NaN,NaN,NaN,NaN,0.06,NaN
147,Homestead,Ordinary Chondrites,L5 ...,1.11,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
148,Hvittis,Enstatite Chondrites,EL6 ...,0.07,-0.560,NaN,0.14,-0.010,0.07,0.1,NaN,0.07,0.17
149,Ibitra,Vesta,Eucrite ...,0.44,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
150,Indarch,Enstatite Chondrites,EH4 ...,0.12,-0.790,NaN,0.21,0.05,0.07,0.11,NaN,0.07,0.14
151,Isna,Carbonaceous Chondrites,CO3 ...,-4.550,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
152,Ivuna,Carbonaceous Chondrites,CI ...,0.47,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
153,JB-1a,Earth,None,NaN,NaN,NaN,0.07,0.2,NaN,NaN,NaN,0.06,0.15
154,JGM-92-1c,Earth,Peridotite ...,NaN,-0.290,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN
155,JP-1,Earth,Peridotite ...,NaN,-0.290,NaN,0.11,0.28,NaN,0.06,NaN,0.1,0.19
156,JajhdehKotLalu,Enstatite Chondrites,EL6 ...,0.07,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
157,Jelica,Ordinary Chondrites,LL6 ...,1.27,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
